Wavelength,20.0,22.0,24.0,26.0,28.0,30.0,32.0,34.0,36.0,38.0,40.0,42.0,44.0,46.0,48.0,50.0,52.0,54.0,56.0,58.0,60.0,62.0,64.0,66.0,68.0,70.0,72.0,74.0,76.0,78.0,80.0,82.0,84.0,86.0,88.0,90.0,92.0,94.0,96.0,98.0,100.0
317.0,0.59346,0.601947,0.531498,0.561374,0.538806,0.566467,0.587347,0.553504,0.497495,0.578162,0.572237,0.511117,0.565511,0.504451,0.480632,0.574886,0.520151,0.543816,0.466442,0.521641,0.499667,0.480523,0.408909,0.45674,0.432137,0.482269,0.436361,0.470702,0.487177,0.439279,0.476517,0.420494,0.435127,0.482095,0.424606,0.409313,0.37488,0.422376,0.438119,0.412679,0.417971
316.5,0.584072,0.605264,0.531818,0.587254,0.533211,0.574307,0.592052,0.55329,0.481404,0.586788,0.572081,0.534367,0.575974,0.521715,0.473643,0.576589,0.530709,0.5492,0.468859,0.513878,0.499939,0.475178,0.405932,0.434045,0.431755,0.477924,0.433486,0.450079,0.48727,0.444494,0.483396,0.434514,0.428888,0.478128,0.402747,0.408557,0.374482,0.411328,0.420143,0.428105,0.427188
316.0,0.591631,0.594705,0.51838,0.580067,0.538558,0.560535,0.591374,0.547672,0.479115,0.586436,0.55898,0.543178,0.576103,0.523107,0.461866,0.57409,0.53141,0.551645,0.458142,0.515187,0.509086,0.443895,0.404274,0.416972,0.439668,0.476299,0.403947,0.453349,0.462206,0.458871,0.474844,0.437683,0.417057,0.46073,0.385297,0.417787,0.392656,0.418597,0.422419,0.427072,0.443454
315.5,0.606427,0.580918,0.510417,0.576866,0.539938,0.563301,0.606179,0.534494,0.490597,0.592172,0.562031,0.535989,0.567607,0.528106,0.452049,0.559621,0.537067,0.576543,0.464214,0.513263,0.503873,0.472018,0.400223,0.427056,0.436948,0.488873,0.416439,0.448458,0.45089,0.441757,0.48862,0.42424,0.416628,0.463844,0.391047,0.443888,0.411113,0.427155,0.404806,0.427899,0.441315
315.0,0.6036,0.588221,0.489187,0.57641,0.53279,0.564965,0.596418,0.540881,0.522766,0.611784,0.570773,0.531893,0.571681,0.520477,0.469683,0.555973,0.540544,0.571471,0.464178,0.524073,0.481636,0.458958,0.420868,0.415039,0.444951,0.491877,0.414529,0.438902,0.451634,0.434674,0.47324,0.413881,0.420667,0.452574,0.402482,0.430206,0.41205,0.420563,0.409165,0.443991,0.458971
314.5,0.603659,0.588685,0.486889,0.563133,0.524987,0.568298,0.578802,0.558088,0.528914,0.595636,0.587714,0.545962,0.562556,0.555226,0.470777,0.568468,0.548684,0.571016,0.483525,0.524535,0.484289,0.464778,0.430568,0.418144,0.465811,0.477188,0.41374,0.449497,0.446368,0.43843,0.458188,0.395538,0.429187,0.444176,0.414002,0.417597,0.430709,0.428978,0.421555,0.451354,0.450649
314.0,0.615679,0.598982,0.500586,0.558547,0.511671,0.558488,0.573514,0.566766,0.530814,0.581774,0.60695,0.550326,0.586249,0.561367,0.484032,0.576992,0.545926,0.571215,0.493232,0.50421,0.484556,0.459804,0.414457,0.41475,0.459064,0.476971,0.430479,0.429452,0.43898,0.430926,0.449509,0.392254,0.450378,0.437208,0.414618,0.422628,0.440911,0.428173,0.413461,0.438933,0.461231
313.5,0.616577,0.599674,0.505829,0.54055,0.493972,0.570367,0.583491,0.563478,0.547724,0.592592,0.602498,0.55604,0.606143,0.574391,0.50066,0.571403,0.550323,0.551913,0.485547,0.499941,0.496671,0.44899,0.43621,0.43328,0.45764,0.471872,0.431117,0.425285,0.429028,0.434979,0.457133,0.393835,0.466434,0.42784,0.40882,0.426016,0.447628,0.430994,0.394743,0.432439,0.453269
313.0,0.635559,0.589996,0.521442,0.564107,0.474963,0.580514,0.575022,0.558168,0.579944,0.58827,0.614745,0.547815,0.613684,0.599921,0.49701,0.588412,0.549385,0.531539,0.499107,0.508203,0.49823,0.465616,0.431055,0.453532,0.441768,0.484126,0.448112,0.445035,0.420699,0.433281,0.45617,0.382875,0.476575,0.451609,0.401558,0.413066,0.444249,0.432671,0.408849,0.417403,0.446444
312.5,0.651465,0.613298,0.524306,0.57136,0.465224,0.579794,0.579342,0.552418,0.589653,0.580363,0.640211,0.565409,0.614655,0.59136,0.49818,0.600383,0.543496,0.523573,0.529005,0.506826,0.521593,0.468653,0.425489,0.46996,0.440769,0.485861,0.462405,0.446795,0.425471,0.433558,0.464491,0.409116,0.475205,0.458811,0.389156,0.407314,0.436396,0.439777,0.400088,0.457198,0.46003
