wavelength,original,predicted,residual
296.5,1.22165,1.265527445537502,-0.04387744553750217
296.0,1.23736,1.2531883207006058,-0.015828320700605802
295.5,1.24742,1.248503176857852,-0.0010831768578520862
295.0,1.24695,1.2494562182490845,-0.0025062182490844798
294.5,1.27616,1.2570290719258286,0.019130928074171383
294.0,1.29941,1.283084373583065,0.016325626416934913
293.5,1.36445,1.3230033355578361,0.04144666444216383
293.0,1.42582,1.376387158990185,0.04943284100981504
292.5,1.46516,1.432627264309275,0.03253273569072501
292.0,1.55751,1.5200750277379833,0.03743497226201664
291.5,1.6648,1.6315505107480814,0.03324948925191862
291.0,1.79947,1.76132399518292,0.03814600481707986
290.5,1.98179,1.9355851243645552,0.04620487563544473
290.0,2.18271,2.128202219905041,0.054507780094958935
289.5,2.4075,2.3521182258709574,0.05538177412904277
289.0,2.64588,2.5944737738602788,0.051406226139721234
288.5,2.93319,2.866611894741757,0.06657810525824326
288.0,3.20817,3.160967047675577,0.04720295232442284
287.5,3.48921,3.4708627418829106,0.01834725811708937
287.0,3.80031,3.799382346165682,0.0009276538343181429
286.5,4.12788,4.143019658325781,-0.015139658325781014
286.0,4.48681,4.51357571488145,-0.026765714881450187
285.5,4.89084,4.908593303018791,-0.0177533030187913
285.0,5.30855,5.309646352383756,-0.0010963523837554945
284.5,5.71511,5.73466211861138,-0.019552118611380287
284.0,6.1145,6.168775597414903,-0.054275597414902954
283.5,6.57551,6.636676530859188,-0.06116653085918777
283.0,7.06104,7.133082670599878,-0.07204267059987757
282.5,7.54214,7.6339346749903125,-0.09179467499031269
282.0,8.07578,8.166068834561468,-0.09028883456146808
281.5,8.62457,8.725959190258386,-0.10138919025838611
281.0,9.25266,9.330373233101337,-0.0777132331013366
280.5,9.92109,9.982962360251168,-0.0618723602511686
280.0,10.6209,10.676222719588008,-0.055322719588007274
279.5,11.3799,11.426091400350963,-0.04619140035096336
279.0,12.1707,12.2122950660088,-0.041595066008799364
278.5,12.9945,13.03937992691948,-0.04487992691947973
278.0,13.8686,13.929560486250082,-0.06096048625008166
277.5,14.8293,14.85938004858789,-0.03008004858789093
277.0,15.8319,15.838879707049887,-0.006979707049888262
276.5,16.8289,16.823686166977815,0.00521383302218581
276.0,17.8687,17.864341780238252,0.004358219761748217
275.5,18.8623,18.92172243507715,-0.05942243507714906
275.0,19.9712,20.025135310222055,-0.05393531022205522
274.5,21.0761,21.134813433456927,-0.05871343345692637
274.0,22.175,22.2461532070475,-0.07115320704749806
273.5,23.3127,23.369719305568974,-0.05701930556897494
273.0,24.4827,24.51820021075559,-0.035500210755589734
272.5,25.6002,25.64307425928642,-0.042874259286417526
272.0,26.6432,26.76895441546431,-0.12575441546431065
271.5,27.7225,27.858988684374623,-0.1364886843746227
271.0,28.8369,28.975753646043934,-0.13885364604393402
270.5,29.9513,30.064228140043184,-0.1129281400431843
270.0,31.0368,31.132822391332866,-0.09602239133286616
269.5,32.1093,32.19067649116955,-0.08137649116955004
269.0,33.1748,33.22697513742226,-0.05217513742226032
