wavelength,original,predicted,residual
287.5,1.11197,1.2064867856192487,-0.09451678561924881
287.0,1.16683,1.2395980491636962,-0.07276804916369617
286.5,1.17365,1.259715965802299,-0.08606596580229886
286.0,1.19182,1.2792261164811847,-0.08740611648118457
285.5,1.21247,1.3002537833404157,-0.08778378334041581
285.0,1.23466,1.3116482913922236,-0.07698829139222352
284.5,1.24163,1.318023694240074,-0.07639369424007403
284.0,1.27784,1.3335406863704233,-0.05570068637042325
283.5,1.31405,1.3558867883798698,-0.041836788379869816
283.0,1.35573,1.3573885540528416,-0.0016585540528415432
282.5,1.40144,1.371298566267975,0.030141433732024936
282.0,1.46189,1.376744280169726,0.08514571983027386
281.5,1.49416,1.3861347871840635,0.10802521281593647
281.0,1.53379,1.4228655294408714,0.11092447055912857
280.5,1.53519,1.4252740477148738,0.1099159522851263
280.0,1.58831,1.4401210254439367,0.1481889745560634
279.5,1.63039,1.4693592135040463,0.1610307864959537
279.0,1.64542,1.4793380660557944,0.16608193394420567
278.5,1.66655,1.4985904019883072,0.1679595980116928
278.0,1.68453,1.5106978096599812,0.17383219034001884
277.5,1.71672,1.535999583352774,0.18072041664722605
277.0,1.72964,1.5573208565859655,0.17231914341403454
276.5,1.73206,1.5828357947236422,0.1492242052763577
276.0,1.74141,1.606106608252552,0.135303391747448
275.5,1.70488,1.6121539014304407,0.09272609856955927
275.0,1.7541,1.6624297869407236,0.09167021305927636
274.5,1.77945,1.6787931535379,0.10065684646210005
274.0,1.76718,1.7021055108138445,0.06507448918615544
273.5,1.74047,1.724624145398336,0.01584585460166399
273.0,1.71029,1.7409764253894395,-0.030686425389439442
272.5,1.72354,1.7594050845801306,-0.03586508458013049
272.0,1.73438,1.7591457450573174,-0.024765745057317323
271.5,1.77683,1.7735843274741203,0.003245672525879595
271.0,1.83502,1.8002328737776163,0.03478712622238378
270.5,1.88818,1.8245590639536449,0.0636209360463551
270.0,1.88993,1.8426307344587558,0.047299265541244306
269.5,1.92131,1.8783220875764246,0.04298791242357547
269.0,1.99155,1.9293472934203386,0.062202706579661315
268.5,1.99357,1.9493527411641556,0.044217258835844486
268.0,1.99138,1.952474136019446,0.038905863980553956
267.5,2.03804,1.9687928021676697,0.06924719783233035
267.0,2.03744,1.9586552880459056,0.07878471195409453
266.5,2.10212,1.9789768588806438,0.12314314111935643
266.0,2.18497,1.9957195965925236,0.18925040340747623
265.5,2.24298,2.033452018377442,0.20952798162255837
265.0,2.2553,2.070473720983709,0.18482627901629112
264.5,2.16719,2.0561697637596312,0.11102023624036894
264.0,2.06138,2.041213891750843,0.020166108249157322
263.5,2.08904,2.0459487496858455,0.043091250314154284
263.0,2.05593,2.0347229453127174,0.021207054687282678
262.5,2.02564,2.0051648700758626,0.02047512992413747
262.0,2.01078,1.9915729639624966,0.0192070360375034
261.5,1.85895,1.947767418647668,-0.08881741864766779
261.0,1.76397,1.90452039034107,-0.14055039034106986
260.5,1.73015,1.8847099920601291,-0.15455999206012905
260.0,1.65971,1.8353943989900956,-0.17568439899009558
259.5,1.65707,1.8158600529636475,-0.15879005296364745
259.0,1.50209,1.750171872590709,-0.24808187259070902
258.5,1.42622,1.6892410638793058,-0.2630210638793058
258.0,1.39429,1.6659357419102445,-0.2716457419102445
257.5,1.38124,1.5800700200102513,-0.1988300200102513
257.0,1.23712,1.4646518906623665,-0.22753189066236645
256.5,1.15826,1.3767286416211757,-0.21846864162117563
256.0,1.14072,1.2843946312237327,-0.1436746312237327
255.5,0.938982,1.1470662837443046,-0.20808428374430465
255.0,0.917384,1.0747011085800886,-0.15731710858008863
254.5,0.869772,0.9388169740713174,-0.06904497407131738
254.0,0.818559,0.8610274800350233,-0.04246848003502324
253.5,0.793345,0.7267116011508555,0.06663339884914443
253.0,0.606485,0.5802933558256497,0.02619164417435038
252.5,0.445475,0.4385388258303867,0.006936174169613285
252.0,0.458729,0.29952084021605385,0.15920815978394615
251.5,0.243473,0.12320300710331156,0.12026999289668844
251.0,0.109138,-0.031723066789044685,0.1408610667890447
250.5,-0.0152798,-0.15444541781316268,0.13916561781316267
250.0,-0.155904,-0.3213052577086276,0.16540125770862762
249.5,-0.413929,-0.48943555366372127,0.07550655366372128
249.0,-0.558926,-0.6421008848980421,0.08317488489804203
248.5,-0.651872,-0.7922177507976176,0.14034575079761757
248.0,-0.755945,-0.9429823117653243,0.18703731176532434
247.5,-0.886994,-1.0855248731352485,0.19853087313524853
247.0,-1.09253,-1.2028255353468715,0.11029553534687153
246.5,-1.12971,-1.2937259319223937,0.16401593192239372
246.0,-1.20857,-1.420644826299104,0.21207482629910412
245.5,-1.48668,-1.5749041492213216,0.0882241492213216
245.0,-1.60514,-1.673204822175682,0.06806482217568188
244.5,-1.64218,-1.7332987502107882,0.09111875021078819
244.0,-1.67916,-1.800108360104947,0.12094836010494703
243.5,-1.77389,-1.8519545498831507,0.0780645498831507
243.0,-1.83558,-1.8892902542794778,0.05371025427947784
242.5,-1.84224,-1.9072822962069131,0.06504229620691304
242.0,-1.92624,-1.9494251042750195,0.02318510427501952
241.5,-1.99404,-1.9702370608685364,-0.023802939131463585
